**File name**,**Included components**,**Comments**
ControlFile_ex11.yaml,"Simple reservoir, multisegmented wellbore, carbonate aquifer",Forward simulation. The saturation/pressure output produced by simple reservoir model is used to drive leakage from five multisegmented wellbore models separated into two groups according to their properties. Two carbonate aquifer components are linked to both groups of wellbores and estimate the impact from the leakage of |CO2| and brine into the aquifers 1 and 2.
ControlFile_ex12.yaml,Generalized flow rate,Forward simulation. Example simulates brine and |CO2| leakage rates to the deepest aquifer (aquifer 1) illustrating the use of the generalized flow rate component. The component does not require linking to other components.
ControlFile_ex13.yaml,"Generalized flow rate, carbonate aquifer","Forward simulation. Example computes the leakage rates of brine and |CO2| to aquifers 1 and 2 utilizing the generalized flow rate component, and calculates the associated impact with the help of carbonate aquifer component."
ControlFile_ex14.yaml,"Lookup table based reservoir, multisegmented wellbore, FutureGen2 aquifer","Latin hypercube sampling, 50 realizations. Example illustrates a setup connecting lookup table based reservoir, multisegmented wellbore and aquifer impact components."
ControlFile_ex15.yaml,"Lookup table based reservoir, multisegmented wellbore, FutureGen2 AZMI","Latin hypercube sampling, 100 realizations. Example illustrates a setup connecting lookup table based reservoir, multisegmented wellbore and aquifer impact components."
ControlFile_ex16.yaml,Plume stability,Example is used to demonstrate parameter study analysis for plume stability component.
ControlFile_ex17.yaml,Fault flow,Example demonstrates forward simulation for fault flow component.
ControlFile_ex18.yaml,"Lookup table based reservoir, fault flow","Latin hypercube sampling, 10 realizations. To run this example, the additional *Kimberlina* data set have to be downloaded and unzipped into the *source/components/reservoir/lookuptables/Kimb_54_sims* folder. The data files can be downloaded from the same EDX directory where the NRAP-Open-IAM was downloaded or from https://gitlab.com/NRAP/Kimberlina_data. The  data set comes from simulation work done by Wainwright et. al. :cite:`Wainwright2012`."
ControlFile_ex19.yaml,"Lookup table based reservoir, seal horizon","Latin hypercube sampling, 5 realizations. To run this example, the additional *Kimberlina* data set have to be downloaded and unzipped into the *source/components/reservoir/lookuptables/Kimb_54_sims* folder. The data files can be downloaded from the same EDX directory where the NRAP-Open-IAM was downloaded or from https://gitlab.com/NRAP/Kimberlina_data. The  data set comes from simulation work done by Wainwright et. al. :cite:`Wainwright2012`."
ControlFile_ex20.yaml,"Analytical reservoir","Latin hypercube sampling, 10 realizations. Example illustrates use of analytical reservoir component."
ControlFile_ex21.yaml,"Lookup table based reservoir, multisegmented wellbore, deep alluvium aquifer (ML)","Forward simulation. Example illustrates use of deep alluvium aquifer component (ML)."
ControlFile_ex22.yaml,"Chemical well sealing component","Forward simulation. Example illustrates setup of the chemical well sealing component."
